,id,age,height,weight,position,draft_round,pts,ast,reb,value
0,203992,0.42857142857142855,0.47368421052631576,0.4166666666666667,5,1,0.3018867924528302,0.20535714285714285,0.2323943661971831,18000000.0
1,1629164,0.2857142857142857,0.15789473684210525,0.08333333333333333,5,0,0.12264150943396226,0.14285714285714288,0.07042253521126761,1701593.0
2,1628981,0.14285714285714285,0.631578947368421,0.5833333333333334,3,2,0.04716981132075471,0.03571428571428572,0.21126760563380284,1517981.0
3,1629629,0.09523809523809523,0.5789473684210527,0.4,4,1,0.3522012578616352,0.11607142857142859,0.28169014084507044,4458000.0
4,203991,0.3333333333333333,0.6842105263157895,0.5833333333333334,0,1,0.449685534591195,0.08035714285714286,1.0,16000000.0
5,201568,0.6190476190476191,0.6842105263157895,0.525,2,1,0.4025157232704403,0.13392857142857142,0.2746478873239437,19500000.0
6,1629631,0.14285714285714285,0.5789473684210527,0.4583333333333333,4,1,0.5251572327044025,0.19642857142857145,0.36619718309859156,7422000.0
7,1628381,0.19047619047619047,0.631578947368421,0.5416666666666666,3,1,0.5754716981132075,0.11607142857142859,0.5492957746478874,4137302.0
8,1628989,0.14285714285714285,0.5263157894736842,0.16666666666666666,6,1,0.37421383647798745,0.32142857142857145,0.2605633802816902,2761920.0
9,1629017,0.23809523809523808,0.3157894736842105,0.3333333333333333,5,2,0.07232704402515723,0.026785714285714288,0.04225352112676056,744684.0
10,1627739,0.3333333333333333,0.3157894736842105,0.2916666666666667,5,1,0.22955974842767293,0.3035714285714286,0.2535211267605634,4767000.0
11,101150,0.6666666666666666,0.21052631578947367,0.041666666666666664,5,2,0.3773584905660377,0.3125,0.147887323943662,8000000.0
12,203524,0.47619047619047616,0.47368421052631576,0.4666666666666667,2,1,0.1320754716981132,0.08035714285714286,0.1619718309859155,1620564.0
13,203503,0.42857142857142855,0.47368421052631576,0.35833333333333334,5,1,0.1761006289308176,0.125,0.1619718309859155,12178571.0
14,1629027,0.14285714285714285,0.21052631578947367,0.08333333333333333,5,1,0.8081761006289307,0.8392857142857144,0.2887323943661972,6571800.0
15,1629035,0.14285714285714285,0.10526315789473684,0.25,5,2,0.16037735849056603,0.053571428571428575,0.07746478873239437,1517981.0
16,1627743,0.3333333333333333,0.21052631578947367,0.25833333333333336,5,2,0.05660377358490566,0.0625,0.04929577464788732,92857.0
17,203095,0.38095238095238093,0.5263157894736842,0.2916666666666667,6,1,0.6163522012578617,0.3303571428571429,0.21126760563380284,17450000.0
18,1629684,0.09523809523809523,0.47368421052631576,0.55,2,1,0.15723270440251572,0.08035714285714286,0.20422535211267606,2498760.0
19,1627824,0.23809523809523808,0.5789473684210527,0.75,2,1,0.07232704402515723,0.03571428571428572,0.09859154929577464,1039080.0
20,1627759,0.19047619047619047,0.47368421052631576,0.44166666666666665,6,1,0.7767295597484276,0.34821428571428575,0.39436619718309857,23437500.0
21,1628369,0.14285714285714285,0.5789473684210527,0.3333333333333333,4,1,0.7830188679245282,0.38392857142857145,0.47887323943661975,9897120.0
22,202689,0.5238095238095238,0.15789473684210525,0.11666666666666667,5,1,0.5566037735849056,0.4107142857142857,0.2535211267605634,34379100.0
23,1628436,0.2857142857142857,0.8947368421052632,0.6666666666666666,3,0,0.06289308176100629,0.026785714285714288,0.08450704225352113,2250000.0
24,203935,0.3333333333333333,0.3157894736842105,0.4166666666666667,5,1,0.4025157232704403,0.4821428571428572,0.19718309859154928,13446428.0
25,1629021,0.19047619047619047,0.7368421052631579,0.625,3,1,0.2232704402515723,0.11607142857142859,0.20422535211267606,2161920.0
26,1629641,0.047619047619047616,0.3684210526315789,0.38333333333333336,6,1,0.07861635220125786,0.03571428571428572,0.09154929577464789,3631200.0
27,1628400,0.2857142857142857,0.47368421052631576,0.5833333333333334,2,2,0.169811320754717,0.07142857142857144,0.21126760563380284,1752950.0
28,202684,0.47619047619047616,0.631578947368421,0.7,1,1,0.24842767295597484,0.08928571428571429,0.591549295774648,9258000.0
29,1628993,0.23809523809523808,0.5263157894736842,0.35,2,2,0.06289308176100629,0.03571428571428572,0.19718309859154928,110998.0
30,203460,0.42857142857142855,0.5263157894736842,0.3333333333333333,6,1,0.03773584905660377,0.07142857142857144,0.21126760563380284,163818.0
31,201933,0.5714285714285714,0.631578947368421,0.6666666666666666,2,1,0.36477987421383645,0.3125,0.35211267605633806,776873.0
32,201933,0.5714285714285714,0.631578947368421,0.6666666666666666,2,1,0.36477987421383645,0.3125,0.35211267605633806,32670565.0
33,201599,0.6190476190476191,0.7368421052631579,0.7916666666666666,0,2,0.23899371069182387,0.1517857142857143,0.5281690140845071,10375678.0
