,namePlayer,value,age,HEIGHT,WEIGHT,PTS,AST,REB,PIE,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,timeLaneAgility,timeThreeQuarterCourtSprint,repsBenchPress135,pctBodyFat,heightWShoesInches,lengthHandInches,widthHandInches,timeModifiedLaneAgility
508,Matt Thomas,1517981.0,28.0,76.0,190.0,2.6,0.4,0.8,0.058,,,,,,,,,,,,,,
509,Mike Conley,34502132.0,35.0,73.0,175.0,16.4,5.5,3.4,0.125,71.0,175.0,77.75,94.5,35.5,40.5,11.63,3.09,13.0,4.2,72.75,,,
510,Miye Oni,1517981.0,25.0,77.0,206.0,2.0,0.2,1.6,0.051,76.25,205.6,82.75,100.5,30.5,38.5,11.71,3.17,19.0,4.9,77.75,9.0,10.0,3.12
511,Royce O'Neale,8500000.0,29.0,76.0,226.0,7.5,2.6,6.6,0.072,,,,,,,,,,,,,,
512,Rudy Gobert,27525281.0,30.0,85.0,258.0,14.5,1.3,13.4,0.158,84.5,237.6,92.5,115.0,25.0,29.0,12.85,3.57,7.0,4.4,86.0,9.75,10.0,3.19
513,Shaquille Harrison,770433.0,29.0,79.0,190.0,1.0,0.5,0.5,0.064,,,,,,,,,,,,,,
514,Udoka Azubuike,1977000.0,,,,,,,,82.0,273.8,91.0,112.5,31.0,31.5,12.97,3.12,11.0,7.95,84.25,9.5,10.0,3.65
515,Udoka Azubuike,1977000.0,,,,,,,,82.0,259.5,91.25,109.0,37.0,41.0,11.82,3.23,,9.61,83.5,9.25,10.0,3.61
516,Alex Len,1265372.0,29.0,84.0,250.0,6.1,0.9,3.6,0.099,,,87.5,,,,,,,6.4,,9.0,10.75,
517,Anthony Gill,898310.0,,,,,,,,,,,,,,,,,,,,,
518,Anzejs Pasecniks,374297.0,26.0,85.0,229.0,0.0,1.0,1.0,-0.26,,,,,,,,,,,,,,
519,Bradley Beal,28751774.0,29.0,75.0,207.0,31.8,4.6,5.1,0.154,75.25,201.8,80.0,100.0,33.0,39.0,10.95,3.28,8.0,6.0,76.75,8.5,9.0,
520,Chandler Hutchison,2443440.0,26.0,78.0,210.0,1.9,0.6,2.9,0.042,,,,,,,,,,,,,,
521,Daniel Gafford,1517981.0,24.0,82.0,234.0,4.8,0.6,3.3,0.099,81.25,237.6,86.5,110.0,32.5,36.5,11.61,3.25,5.0,5.9,82.5,9.25,9.25,3.19
522,Davis Bertans,15000000.0,30.0,82.0,225.0,10.8,0.9,2.9,0.064,,,,,,,,,,,,,,
523,Deni Avdija,4469160.0,,,,,,,,,,,,,,,,,,,,,
524,Isaac Bonga,1663861.0,23.0,80.0,180.0,2.2,0.6,2.1,0.032,,,,,,,,,,,,,,
525,Ish Smith,6000000.0,34.0,72.0,175.0,5.2,4.7,3.5,0.094,,,,,,,,,,,,,,
526,Jerome Robinson,3737520.0,25.0,76.0,190.0,5.2,1.4,2.5,0.052,76.0,188.4,79.25,98.0,,,,,,6.05,77.0,9.0,10.0,
527,Jordan Bell,110998.0,27.0,80.0,216.0,3.3,1.7,5.3,0.074,79.0,223.6,83.75,104.5,31.5,38.0,10.63,3.21,16.0,5.4,80.5,9.25,9.5,2.83
528,Raul Neto,1620564.0,30.0,73.0,180.0,7.7,2.2,2.2,0.081,,,,,,,,,,,,,,
529,Robin Lopez,7300000.0,34.0,84.0,281.0,8.2,0.9,4.1,0.084,,,,,,,,,,,,,,
530,Rui Hachimura,4692840.0,24.0,80.0,230.0,13.4,1.5,5.8,0.085,,,,,,,,,,,,,,
531,Russell Westbrook,41358814.0,34.0,75.0,200.0,21.7,10.3,9.5,0.146,74.25,192.0,79.75,100.0,30.0,36.5,10.98,3.08,12.0,4.8,75.5,,,
532,Thomas Bryant,8333333.0,25.0,82.0,248.0,14.3,1.5,6.1,0.111,81.5,247.8,90.0,112.5,25.5,33.0,11.42,3.37,7.0,9.4,82.75,9.5,10.25,3.12
