,namePlayer,value,age,HEIGHT,WEIGHT,PTS,AST,REB,PIE,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,timeLaneAgility,timeThreeQuarterCourtSprint,repsBenchPress135,pctBodyFat,heightWShoesInches,lengthHandInches,widthHandInches,timeModifiedLaneAgility
374,Patrick Patterson,737067.0,33.0,80.0,235.0,4.7,0.5,2.0,0.06,80.0,239.6,85.25,107.0,28.5,33.5,11.14,3.25,17.0,5.3,81.25,9.25,10.25,
375,Shai GilgeousAlexander,4141320.0,,,,,,,,,,,,,,,,,,,,,
376,Svi Mykhailiuk,1663861.0,25.0,79.0,205.0,7.0,1.6,2.1,0.077,78.5,219.6,77.0,100.0,27.0,33.0,12.4,3.53,8.0,11.4,79.5,8.0,9.25,3.25
377,Theo Maledon,2000000.0,,,,,,,,76.0,187.4,80.75,100.5,,,,,,2.8,77.0,8.5,10.0,
378,TJ Leaf,4326825.0,,,,,,,,80.75,222.2,83.0,107.0,29.0,34.5,11.55,3.27,6.0,6.8,81.75,8.5,9.5,3.27
379,Tony Bradley,3542060.0,24.0,82.0,248.0,4.8,0.9,4.9,0.121,81.25,248.8,89.0,112.5,24.5,27.5,11.79,3.44,5.0,12.0,82.75,9.5,9.5,2.99
380,Ty Jerome,2303040.0,25.0,77.0,195.0,9.9,3.6,3.5,0.091,76.25,194.4,76.0,98.0,26.0,31.5,11.21,3.4,2.0,6.5,77.5,8.25,9.5,3.12
381,Zylan Cheatham,1445697.0,26.0,77.0,220.0,3.0,0.8,2.3,,,,,,,,,,,,,,,
382,Chuma Okeke,3121080.0,,,,,,,,,,,,,,,,,,,,,
383,Cole Anthony,3285120.0,,,,,,,,,,,,,,,,,,,,,
384,Devin Cannady,61528.0,,,,,,,,,,,,,,,,,,,,,
385,Dwayne Bacon,1678854.0,27.0,78.0,221.0,9.9,1.1,2.8,0.06,76.75,221.6,82.0,103.5,30.0,36.5,11.7,3.22,8.0,7.9,78.25,8.75,10.0,3.22
386,Gary Harris,19160714.0,28.0,76.0,210.0,9.7,1.7,2.5,0.052,74.5,204.8,78.75,96.0,,,,,,4.55,76.5,8.5,9.5,
387,James Ennis,3300000.0,,,,,,,,77.75,200.8,83.5,104.5,29.5,36.5,11.55,3.4,7.0,4.5,79.0,8.5,8.75,3.06
388,Jeff Teague,1620564.0,34.0,75.0,195.0,6.6,2.2,1.6,0.068,72.25,175.2,79.5,98.5,30.5,36.5,11.05,3.18,13.0,4.5,73.5,,,
389,Jonathan Isaac,7362566.0,25.0,83.0,230.0,11.9,1.4,6.8,0.108,,,,,,,,,,,,,,
390,Khem Birch,3000000.0,30.0,81.0,233.0,5.5,1.0,5.2,0.084,79.5,208.8,85.0,107.0,30.5,35.5,11.6,3.26,,6.0,81.25,9.0,8.5,3.24
391,Markelle Fultz,12288697.0,24.0,75.0,209.0,12.9,5.4,3.1,0.081,,,,,,,,,,,,,,
392,Michael CarterWilliams,3300000.0,,,,,,,,,,,,,,,,,,,,,
393,Mo Bamba,5969040.0,24.0,84.0,231.0,4.6,0.3,3.9,0.126,,,,,,,,,,,,,,
394,Otto Porter,28489239.0,,,,,,,,79.5,197.6,85.5,105.5,27.0,36.0,11.25,3.4,9.0,6.65,80.5,8.75,9.25,3.06
395,RJ Hampton,2193480.0,,,,,,,,,,,,,,,,,,,,,
396,Terrence Ross,13500000.0,31.0,78.0,206.0,16.0,2.3,3.5,0.092,78.0,196.6,79.25,100.5,31.0,37.5,11.78,3.28,2.0,3.2,79.0,8.75,10.25,
397,Wendell Carter Jr,5448840.0,,,,,,,,,,,,,,,,,,,,,
