,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
9232,2530,Ed,Malloy,73,0020500482
9233,1150,Jimmy,Clark,6,0020500482
9234,1146,Tony,Brothers,25,0020500482
9235,2716,Olandis,Poole,50,0020500485
9236,1156,Tim,Donaghy,21,0020500485
9237,1161,Joe,Forte,45,0020500485
9238,1151,Sean,Corbin,33,0020500484
9239,1192,Bennett,Salvatore,15,0020500484
9240,2534,Zach,Zarba,58,0020500484
9241,1664,Gary,Zielinski,59,0020500481
9242,1188,Leroy,Richardson,51,0020500481
9243,1167,Steve,Javie,29,0020500481
9244,1164,Ron,Garretson,10,0020500486
9245,1201,Leon,Wood,40,0020500486
9246,2883,Robbie,Robinson,53,0020500486
9247,2003,Pat,Fraher,52,0020500490
9248,1142,Dick,Bavetta,27,0020500490
9249,1198,Scott,Wall,31,0020500490
9250,1169,Anthony,Jordan,37,0020500489
9251,1174,Ken,Mauer,41,0020500489
9252,1363,Bennie,Adams,47,0020500489
9253,2005,Matt,Boland,46,0020500488
9254,1150,Jimmy,Clark,6,0020500488
9255,1146,Tony,Brothers,25,0020500488
9256,1153,Joe,Crawford,17,0020500487
9257,2530,Ed,Malloy,73,0020500487
9258,1204,Derek,Richardson,63,0020500487
9259,2004,Courtney,Kirkland,61,0020500497
9260,1152,Dan,Crawford,43,0020500497
9261,1830,Marc,Davis,34,0020500497
9262,1156,Tim,Donaghy,21,0020500498
9263,2716,Olandis,Poole,50,0020500498
9264,1161,Joe,Forte,45,0020500498
9265,1154,Bob,Delaney,26,0020500494
9266,1826,Jess,Kersey,20,0020500494
9267,2529,Tony,Brown,30,0020500494
9268,1159,Kevin,Fehr,39,0020500492
9269,1199,Tom,Washington,49,0020500492
9270,1662,Bill,Kennedy,55,0020500492
9271,2002,Derrick,Collins,54,0020500491
9272,1184,Ron,Olesiak,44,0020500491
9273,1180,Jack,Nies,35,0020500491
9274,1167,Steve,Javie,29,0020500495
9275,1664,Gary,Zielinski,59,0020500495
9276,1188,Leroy,Richardson,51,0020500495
9277,1151,Sean,Corbin,33,0020500499
9278,1192,Bennett,Salvatore,15,0020500499
9279,2534,Zach,Zarba,58,0020500499
9280,1169,Anthony,Jordan,37,0020500496
9281,1179,Rodney,Mott,71,0020500496
9282,1190,Eddie,Rush,32,0020500496
9283,2147,Michael,Henderson,62,0020500493
9284,1155,JB,DeRosa,14,0020500493
9285,1204,Derek,Richardson,63,0020500493
9286,2005,Matt,Boland,46,0020500504
9287,1180,Jack,Nies,35,0020500504
9288,1146,Tony,Brothers,25,0020500504
9289,2004,Courtney,Kirkland,61,0020500506
9290,1152,Dan,Crawford,43,0020500506
9291,1193,Michael,Smith,38,0020500506
9292,1363,Bennie,Adams,47,0020500501
9293,1174,Ken,Mauer,41,0020500501
9294,2878,Tommy,Nunez Jr.,28,0020500501
9295,2532,Eli,Roe,64,0020500507
9296,1195,Derrick,Stafford,9,0020500507
9297,1203,Mark,Wunderlich,18,0020500507
9298,1185,Violet,Palmer,12,0020500508
9299,1142,Dick,Bavetta,27,0020500508
9300,2003,Pat,Fraher,52,0020500508
9301,2715,Eric,Lewis,42,0020500505
9302,1168,David,Jones,36,0020500505
9303,1200,Greg,Willard,57,0020500505
9304,2882,Sean,Wright,65,0020500500
9305,1201,Leon,Wood,40,0020500500
9306,1162,Scott,Foster,48,0020500500
9307,2001,Jason,Phillips,23,0020500509
9308,1198,Scott,Wall,31,0020500509
9309,1194,Bill,Spooner,22,0020500509
9310,1662,Bill,Kennedy,55,0020500502
9311,1199,Tom,Washington,49,0020500502
9312,1159,Kevin,Fehr,39,0020500502
9313,1826,Jess,Kersey,20,0020500503
9314,1154,Bob,Delaney,26,0020500503
9315,2529,Tony,Brown,30,0020500503
9316,1161,Joe,Forte,45,0020500510
9317,1188,Leroy,Richardson,51,0020500510
9318,1156,Tim,Donaghy,21,0020500510
9319,1151,Sean,Corbin,33,0020500512
9320,1185,Violet,Palmer,12,0020500512
9321,1192,Bennett,Salvatore,15,0020500512
9322,1148,James,Capers,19,0020500511
9323,1153,Joe,Crawford,17,0020500511
9324,1189,Phil,Robinson,11,0020500511
9325,1194,Bill,Spooner,22,0020500520
9326,2001,Jason,Phillips,23,0020500520
9327,1198,Scott,Wall,31,0020500520
9328,2532,Eli,Roe,64,0020500521
9329,1195,Derrick,Stafford,9,0020500521
9330,1203,Mark,Wunderlich,18,0020500521
9331,2004,Courtney,Kirkland,61,0020500519
9332,1167,Steve,Javie,29,0020500519
9333,1162,Scott,Foster,48,0020500519
9334,1180,Jack,Nies,35,0020500518
9335,1146,Tony,Brothers,25,0020500518
9336,2530,Ed,Malloy,73,0020500518
9337,1174,Ken,Mauer,41,0020500517
9338,1363,Bennie,Adams,47,0020500517
9339,2878,Tommy,Nunez Jr.,28,0020500517
9340,1190,Eddie,Rush,32,0020500515
9341,2714,David,Guthrie,60,0020500515
9342,1179,Rodney,Mott,71,0020500515
9343,1159,Kevin,Fehr,39,0020500516
9344,1826,Jess,Kersey,20,0020500516
9345,1154,Bob,Delaney,26,0020500516
9346,2005,Matt,Boland,46,0020500514
9347,1155,JB,DeRosa,14,0020500514
9348,1204,Derek,Richardson,63,0020500514
9349,2715,Eric,Lewis,42,0020500513
9350,1168,David,Jones,36,0020500513
9351,1200,Greg,Willard,57,0020500513
9352,1662,Bill,Kennedy,55,0020500528
9353,1199,Tom,Washington,49,0020500528
9354,2529,Tony,Brown,30,0020500528
9355,2882,Sean,Wright,65,0020500526
9356,1363,Bennie,Adams,47,0020500526
9357,1162,Scott,Foster,48,0020500526
9358,1189,Phil,Robinson,11,0020500529
9359,2147,Michael,Henderson,62,0020500529
9360,1150,Jimmy,Clark,6,0020500529
9361,1155,JB,DeRosa,14,0020500524
9362,1204,Derek,Richardson,63,0020500524
9363,2534,Zach,Zarba,58,0020500524
9364,1203,Mark,Wunderlich,18,0020500530
9365,2532,Eli,Roe,64,0020500530
9366,1195,Derrick,Stafford,9,0020500530
9367,2878,Tommy,Nunez Jr.,28,0020500525
9368,1152,Dan,Crawford,43,0020500525
9369,1830,Marc,Davis,34,0020500525
9370,1200,Greg,Willard,57,0020500523
9371,2003,Pat,Fraher,52,0020500523
9372,1185,Violet,Palmer,12,0020500523
9373,1169,Anthony,Jordan,37,0020500522
9374,1161,Joe,Forte,45,0020500522
9375,1156,Tim,Donaghy,21,0020500522
9376,1148,James,Capers,19,0020500531
9377,1153,Joe,Crawford,17,0020500531
9378,2002,Derrick,Collins,54,0020500531
9379,2148,Mark,Ayotte,56,0020500532
9380,1164,Ron,Garretson,10,0020500532
9381,1201,Leon,Wood,40,0020500532
9382,1180,Jack,Nies,35,0020500527
9383,1184,Ron,Olesiak,44,0020500527
9384,2530,Ed,Malloy,73,0020500527
9385,2147,Michael,Henderson,62,0020500535
9386,1150,Jimmy,Clark,6,0020500535
9387,1189,Phil,Robinson,11,0020500535
9388,1201,Leon,Wood,40,0020500534
9389,1164,Ron,Garretson,10,0020500534
9390,2148,Mark,Ayotte,56,0020500534
9391,1190,Eddie,Rush,32,0020500533
9392,1179,Rodney,Mott,71,0020500533
9393,2883,Robbie,Robinson,53,0020500533
9394,1179,Rodney,Mott,71,0020500541
9395,1169,Anthony,Jordan,37,0020500541
9396,1190,Eddie,Rush,32,0020500541
9397,1192,Bennett,Salvatore,15,0020500546
9398,2534,Zach,Zarba,58,0020500546
9399,1162,Scott,Foster,48,0020500546
9400,1161,Joe,Forte,45,0020500536
9401,1188,Leroy,Richardson,51,0020500536
9402,2716,Olandis,Poole,50,0020500536
9403,1184,Ron,Olesiak,44,0020500542
9404,1155,JB,DeRosa,14,0020500542
9405,2001,Jason,Phillips,23,0020500542
9406,1154,Bob,Delaney,26,0020500539
